_id;id_local;id_distrito_local;desc_distrito_local;desc_barrio_local;Nombre;id_periodo_terraza;desc_periodo_terraza;DESC_CLASE;DESC_NOMBRE;;;;;;;;
230;280050244;12;USERA               ;MOSCARDO            ;TABERNA LA ANDALUZA;1;Anual;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
231;270416146;12;USERA               ;ZOFIO               ;A NOXA GALICIA;2;Estacional;AVENIDA                 ;CERRO DE LOS ANGELES                              ;;;;;;;;
232;280049608;12;USERA               ;ORCASITAS           ;CAFETERIA JUANITO;1;Anual;CALLE                   ;GRAN AVENIDA                                      ;;;;;;;;
233;285021310;12;USERA               ;MOSCARDO            ;CAMBOY;2;Estacional;CALLE                   ;ANTONIO LOPEZ                                     ;;;;;;;;
234;280049571;12;USERA               ;ORCASITAS           ;BAR ASADOR MERINO;2;Estacional;CALLE                   ;GUETARIA                                          ;;;;;;;;
235;270156733;12;USERA               ;MOSCARDO            ;EL CHIRINGUITO;2;Estacional;CALLE                   ;SAN FILIBERTO                                     ;;;;;;;;
236;280049704;12;USERA               ;SAN FERMIN          ;BAR JUSTO;2;Estacional;AVENIDA                 ;SAN FERMIN                                        ;;;;;;;;
237;270526564;12;USERA               ;ALMENDRALES         ;BAR CAFETERIA;1;Anual;CALLE                   ;SANTUARIO                                         ;;;;;;;;
238;280049131;12;USERA               ;MOSCARDO            ;BAR EL MANCHEGO (LOCAL 2 Y 3);1;Anual;CALLE                   ;AMPARO USERA                                      ;;;;;;;;
240;200001961;20;SAN BLAS-CANILLEJAS ;SIMANCAS            ;TGB-THE GOOD BURGER;1;Anual;CALLE                   ;ALCALA                                            ;;;;;;;;
243;40003086;4;SALAMANCA           ;RECOLETOS           ;LA NI?A;1;Anual;CALLE                   ;AYALA                                             ;;;;;;;;
245;40002254;4;SALAMANCA           ;GUINDALERA          ;JARRITUS;1;Anual;CALLE                   ;ALCALA                                            ;;;;;;;;
247;270535739;12;USERA               ;SAN FERMIN          ;BAR CAFETERIA KRISTIN;2;Estacional;CALLE                   ;SAN MARIO                                         ;;;;;;;;
251;270154709;12;USERA               ;SAN FERMIN          ;BAR LA SELVA;2;Estacional;CALLE                   ;CARABELOS                                         ;;;;;;;;
252;270261041;12;USERA               ;ZOFIO               ;SALEM II;2;Estacional;AVENIDA                 ;CERRO DE LOS ANGELES                              ;;;;;;;;
253;270322431;12;USERA               ;PRADOLONGO          ;BAR LEONES;2;Estacional;CALLE                   ;CRISTO DE LA VICTORIA                             ;;;;;;;;
254;270157551;12;USERA               ;PRADOLONGO          ;CAFETERIA CUESTA CERVECERIA;1;Anual;AVENIDA                 ;RAFAELA YBARRA                                    ;;;;;;;;
255;270225619;12;USERA               ;MOSCARDO            ;CAFETERIA LUMAR;1;Anual;CALLE                   ;MANUEL NOYA                                       ;;;;;;;;
257;270438394;12;USERA               ;ORCASUR             ;CASA ANTONIO;2;Estacional;CALLE                   ;ALERCE                                            ;;;;;;;;
258;270549067;12;USERA               ;ALMENDRALES         ;MUSEO DEL JAMON;2;Estacional;AVENIDA                 ;CORDOBA                                           ;;;;;;;;
259;270156565;12;USERA               ;MOSCARDO            ;DONNER KEBAP USERA;1;Anual;CALLE                   ;ENRIQUE FUENTES                                   ;;;;;;;;
260;270473500;12;USERA               ;MOSCARDO            ;R?TULO NO INFORMADO;2;Estacional;CALLE                   ;MARCELO USERA                                     ;;;;;;;;
261;120000334;12;USERA               ;ORCASUR             ;LOCAL PENDIENTE DE VERIFICACION;2;Estacional;AVENIDA                 ;ORCASUR                                           ;;;;;;;;
262;270401857;12;USERA               ;ORCASITAS           ;ALH?BEGA BAR, S.L.;2;Estacional;PLAZA                   ;PROMESAS                                          ;;;;;;;;
263;270537073;12;USERA               ;ORCASITAS           ;CAFETRIA ACUARIO;2;Estacional;CALLE                   ;RANCHO                                            ;;;;;;;;
264;270044772;12;USERA               ;MOSCARDO            ;CERVECERIA JUSTI;2;Estacional;CALLE                   ;SAN FILIBERTO                                     ;;;;;;;;
265;285035919;13;PUENTE DE VALLECAS  ;PALOMERAS SURESTE   ;BAR RESTAURANTE;2;Estacional;CALLE                   ;VILLALOBOS                                        ;;;;;;;;
266;280017096;2;ARGANZUELA          ;CHOPERA             ;TAPAS;2;Estacional;PASEO                   ;SANTA MARIA DE LA CABEZA                          ;;;;;;;;
267;270475350;2;ARGANZUELA          ;PALOS DE MOGUER     ;BAR CERVECERIA DIAZ;1;Anual;CALLE                   ;EMBAJADORES                                       ;;;;;;;;
